Id;rf_volume
1;1
2;1
3;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;2
50;2
51;2
52;2
53;2
54;2
55;2
56;2
57;2
58;2
59;2
60;2
61;2
62;2
63;2
64;2
65;2
66;2
67;2
68;2
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;2
77;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;2
90;2
91;2
92;2
93;2
94;2
95;2
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;2
104;2
105;2
106;2
107;2
108;2
109;2
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;3
118;3
119;3
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;3
134;3
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;3
147;3
148;3
149;3
150;3
151;3
152;3
153;3
154;3
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;3
163;3
164;3
165;3
166;3
167;3
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;3
180;3
181;3
182;3
183;3
184;3
185;3
186;3
187;3
188;3
189;4
190;4
191;4
192;4
193;4
194;4
195;4
196;4
197;4
198;4
199;4
200;4
201;4
202;4
203;4
204;4
205;4
206;4
207;4
208;4
209;4
210;4
211;4
212;4
213;4
214;5
215;5
216;5
217;5
218;5
219;5
220;5
221;5
222;5
223;5
224;5
225;5
226;5
227;5
228;5
229;5
230;5
231;5
232;5
233;5
234;5
235;5
236;5
237;5
238;5
239;5
240;5
241;5
242;5
243;5
244;5
245;6
246;6
247;6
248;6
249;6
250;6
251;6
252;6
253;6
254;6
255;6
256;6
257;6
258;6
259;6
260;6
261;6
262;6
263;6
264;6
265;6
266;6
267;6
268;6
269;6
270;6
271;6
272;6
273;6
274;6
275;6
276;6
277;6
278;6
279;6
280;6
281;6
282;6
283;6
284;6
285;6
286;6
287;6
288;6
289;6
290;7
291;7
292;7
293;7
294;7
295;7
296;7
297;7
298;7
299;7
300;7
301;7
302;7
303;7
304;7
305;7
306;7
307;7
308;7
309;7
310;7
311;7
312;7
313;7
314;7
315;7
316;7
317;7
318;7
319;7
320;7
321;7
322;7
323;8
324;8
325;8
326;8
327;8
328;8
329;8
330;8
331;9
332;9
333;9
334;9
335;9
336;9
337;9
338;9
339;9
340;9
341;9
342;9
343;9
344;9
345;9
346;9
347;9
348;9
349;9
350;9
351;9
352;9
353;9
354;9
355;9
356;9
357;9
358;9
359;9
360;9
361;9
362;9
363;9
364;9
365;9
366;9
367;9
368;9
369;9
370;9
371;9
372;9
373;9
374;9
375;9
376;9
377;9
378;9
379;9
380;9
381;9
382;9
383;9
384;9
385;9
386;9
387;9
388;9
389;9
390;9
391;9
392;9
393;9
394;9
395;9
396;9
397;9
398;9
399;9
400;9
401;9
402;9
403;9
404;9
405;9
406;9
407;9
408;9
409;9
410;9
411;9
412;9
413;9
414;9
415;9
416;9
417;9
418;9
419;9
420;9
421;9
422;9
423;9
424;9
425;9
426;9
427;9
428;9
429;9
430;9
431;9
432;9
433;9
434;9
435;9
436;9
437;9
438;9
439;9
440;9
441;9
442;9
443;9
444;10
445;10
446;10
447;10
448;10
449;10
450;10
451;10
452;10
453;10
454;10
455;10
456;10
457;10
458;10
459;10
460;10
461;10
462;10
463;10
464;10
465;10
466;10
467;10
468;10
469;10
470;10
471;10
472;11
473;11
474;11
475;11
476;11
477;11
478;11
479;11
480;11
481;11
482;11
483;11
484;11
485;11
486;11
487;11
488;11
489;11
490;11
491;12
492;12
493;12
494;12
495;12
496;12
497;12
498;12
499;12
500;12
501;12
502;12
503;12
504;12
505;12
506;12
507;12
508;12
509;12
